00101,phone,AT&TPHONETESTSIM,nil,1,nil,nil
001010,VZWINTERNET,TestInternet,nil,1,nil,nil
20201,internet,CosmoteWirelessInternet,nil,1,nil,nil
20205,internet.vodafone.gr,VfMobileInternet,nil,1,nil,nil
20209,myq,QInternet,nil,1,nil,nil
20210,gint.b-online.gr,WindInternet,nil,1,nil,nil
20402,internet.tele2.nl,Tele2GPRS,nil,1,nil,nil
20403,internet.mvno.mobi,MVNONL,mvno,1,mvno,1
20404,mobiledata,JumpRoam,nil,1,nil,0
20404,iot.truphone.com,Truphone,nil,1,nil,nil
20404,live.vodafone.com,VodafoneNL,vodafone,1,vodafone,1
20404,VZWINTERNET,EHRPD-VZWRoamingInternet,nil,3,nil,nil
20408,iot.truphone.com,Truphone,nil,1,nil,nil
20404,internet.cs4glte.com,CSpireinternational,cs3g,1,Uniroam@inet.cs.com,3
20404,admin.cs4glte.com,CSpireinternational,nil,1,nil,nil
20404,tethering.cs4glte.com,CSpireinternational,nil,1,nil,nil
20408,KPN4G.nl,KPN/Hi4GLTEMobielinternet,nil,1,nil,nil
20408,portalmmm.nl,KPN/HiMobielInternet,nil,1,nil,nil
20408,internet.mvno.mobi,MVNONL,mvno,1,mvno,1
20408,rabo,RaboMobielInt.,nil,1,nil,nil
20404,net.hotm,HOTmobileInternet,nil,1,nil,nil
20412,internet,TelfortInternet,nil,1,nil,nil
20416,internet,T-MobileInternet,nil,1,nil,1
20416,internet.ben,BenInternetAbonnee,nil,1,nil,nil
20416,basic.internet.ben.data,BenInternetPrePaid,nil,1,nil,nil
20420,internet,T-MobileInternet,nil,1,nil,1
20433,iot.truphone.com,Truphone,nil,1,nil,nil
20601,INTERNET.PROXIMUS.BE,PxInternet,nil,1,nil,nil
20601,telenetwap.be,TelenetInternet,nil,1,nil,nil
20601,iijmio.jp,IIJmio(TypeI/Roaming),iij,1,mio@iij,3
20601,vmobile.jp,vmobile.jp(Roaming),vmobile,1,vmobile@jp,3
20605,telenetwap.be,TelenetInternet,nil,1,nil,nil
20610,mworld.be,MobistarInternet,nil,1,nil,nil
20610,netgprs.com,netgprs.com,tsl,1,tsl,nil
20620,gprs.base.be,BASEWAP,base,1,base,1
20628,bicsapn,BICSInternet,nil,1,nil,nil
20801,orange,OrangeWorld,orange,1,orange,1
20801,orange-mib,OrangeEntreprise,orange,1,orange,2
20801,orange.fr,OrangeInternet,orange,1,orange,0
20801,ofnew.fr,CarrefourWAP,orange,1,orange,1
20801,coriolis,Coriolis,nil,1,nil,nil
20809,sl2sfr,SFRwebphone,nil,1,nil,nil
20809,websfr,SFRoptionmodem,nil,1,nil,nil
20809,pda.newcomobile.com,BeAliv,nil,1,nil,nil
20809,iot.truphone.com,Truphone,nil,1,nil,nil
20809,coriolis,Coriolis,nil,1,nil,nil
20810,sl2sfr,SFRwebphone,nil,1,nil,nil
20810,websfr,SFRoptionModem,nil,1,nil,0
20810,fnetnrj,NRJWEB,nil,1,nil,nil
20810,internetnrj,INTERNETNRJ,nil,1,nil,0
20810,wap65,AuchanWAP,nil,1,nil,nil
20810,wap66,WAPLeclercMobile,nil,1,nil,nil
20810,fnetcoriolis,CoriolisWAP,nil,1,nil,nil
20810,internetcoriolis,CoriolisWEB,nil,1,nil,0
20810,wapdebitel,WEBLaPosteMobile,nil,1,nil,nil
20810,wap68,DartySurf&Mails,nil,1,nil,nil
20810,internet68,KeyyoMobileInternet,nil,1,nil,0
20810,wap68,KeyyoMobileWap,nil,1,nil,0
20810,wap66,WAPRegloMobile,nil,1,nil,0
20812,iot.truphone.com,Truphone,nil,1,nil,nil
20815,free,Free,nil,1,nil,nil
20815,free.re,FreeReInt,nil,1,nil,nil
20815,iliad,IliadInt,nil,1,nil,nil
20817,bornsip,Legos,nil,1,nil,nil
20820,mmsbouygtel.com,BouyguesTelecom,nil,1,nil,nil
20822,mobiledata,mobiledata,nil,1,nil,nil
20822,netgprs.com,netgprs.com,tsl,1,tsl,nil
20823,virgin-mobile.fr,Virginmobile,nil,1,nil,nil
20826,fnetnrj,NRJWEB,nil,1,nil,nil
20827,coriolis,Coriolis,nil,1,nil,nil
21401,airtelwap.es,Internetmóvil,wap125,1,wap@wap,1
21401,airtelnet.es,INTERNET,vodafone,1,vodafone,1
21402,altecom.net,ALTECOM,nil,1,nil,nil
21402,fibracat.cat,FIBRACAT,nil,1,nil,nil
21403,orangeworld,OrangeInternetMóvil,orange,1,orange,1
21403,internet,OrangeInternetPC,orange,1,orange,0
21403,internet.euskaltel.mobi,EuskaltelInternet,EUSKALTEL,1,CLIENTE,1
21403,CARREFOURINTERNET,Carrefour,nil,1,nil,1
21403,internettph,HappyInternet,nil,1,nil,nil
21403,internet.racc.net,RACCINTERNET,RACC,1,CLIENTERACC,nil
21403,internetmas,MASMovilInternet,nil,1,nil,nil
21403,ibercominternet,IbercomInternet,nil,1,nil,nil
21403,jazzinternet,jazzinternet,nil,1,nil,nil
21404,internet,YoigoInternet,nil,1,nil,nil
21405,tuenti.com,Tuenti,tuenti,1,tuenti,1
21405,inet.es,INETRoaming,nil,1,nil,nil
21406,airtelnet.es,INTERNETGPRS,vodafone,1,vodafone,nil
21406,internet.euskaltel.mobi,EuskaltelInternet,EUSKALTEL,1,CLIENTE,1
21406,internet.mundo-r.com,InternetR,nil,1,nil,1
21406,internet.telecable.es,TeleCableInternet,telecable,1,telecable,1
21406,gprs.eroskimovil.es,EroskiMovilGPRS,wap125,1,wap@wap,1
21406,gprs.pepephone.com,DUN,nil,1,nil,0
21406,gprsmov.pepephone.com,Internet,nil,1,nil,0
21407,telefonica.es,Movistar,telefonica,1,telefonica,1
21407,jazzinternet,JazztelInternet,nil,1,nil,nil
21407,movistar.es,Conexióompartida,MOVISTAR,1,MOVISTAR,1
21407,internet.t-2.net,T-2,nil,1,nil,nil
21408,internet.euskaltel.mobi,EuskaltelInternet,EUSKALTEL,1,CLIENTE,1
21416,internet.telecable.es,TeleCableInternet,telecable,1,telecable,nil
21418,internet.ono.com,ONOInternet,nil,1,nil,nil
21419,orangeworld,internetsimyo,orange,1,orange,1
21421,jazzinternet,jazzinternet,nil,1,nil,nil
21427,iot.truphone.com,Truphone,nil,1,nil,nil
21432,tuenti.com,Tuenti,tuenti,1,tuenti,3
21434,inet.es,INETInternet,nil,1,nil,nil
